node_id,type,x,y,demand,unit_profit,service_time,ready_time,due_time,shortage_penalty,lateness_penalty,depot_open_cost,depot_vehicle_cap
0,depot,35.0,35.0,,,0.0,,,,,20.0,5
1,depot,5,5,,,0.0,,,,,20.0,5
2,depot,55,5,,,0.0,,,,,20.0,5
3,depot,5,65,,,0.0,,,,,20.0,5
4,depot,55,65,,,0.0,,,,,20.0,5
5,customer,41,49,10.0,8.0,10.0,161.0,171.0,100.0,3.0,,
6,customer,35,17,7.0,8.0,10.0,50.0,60.0,100.0,3.0,,
7,customer,55,45,13.0,8.0,10.0,116.0,126.0,100.0,3.0,,
8,customer,55,20,19.0,8.0,10.0,149.0,159.0,100.0,3.0,,
9,customer,15,30,26.0,8.0,10.0,34.0,44.0,150.0,3.0,,
10,customer,25,30,3.0,8.0,10.0,99.0,109.0,100.0,3.0,,
11,customer,20,50,5.0,8.0,10.0,81.0,91.0,100.0,3.0,,
12,customer,10,43,9.0,8.0,10.0,95.0,105.0,100.0,3.0,,
13,customer,55,60,16.0,8.0,10.0,97.0,107.0,100.0,3.0,,
14,customer,30,60,16.0,8.0,10.0,124.0,134.0,100.0,3.0,,
15,customer,20,65,12.0,8.0,10.0,67.0,77.0,100.0,3.0,,
16,customer,50,35,19.0,8.0,10.0,63.0,73.0,100.0,3.0,,
17,customer,30,25,23.0,8.0,10.0,159.0,169.0,150.0,3.0,,
18,customer,15,10,20.0,8.0,10.0,32.0,42.0,100.0,3.0,,
19,customer,30,5,8.0,8.0,10.0,61.0,71.0,100.0,3.0,,
20,customer,10,20,19.0,8.0,10.0,75.0,85.0,100.0,3.0,,
21,customer,5,30,2.0,8.0,10.0,157.0,167.0,100.0,3.0,,
22,customer,20,40,12.0,8.0,10.0,87.0,97.0,100.0,3.0,,
23,customer,15,60,17.0,8.0,10.0,76.0,86.0,100.0,3.0,,
24,customer,45,65,9.0,8.0,10.0,126.0,136.0,100.0,3.0,,
