node_id,type,x,y,demand,unit_profit,service_time,ready_time,due_time,shortage_penalty,lateness_penalty,depot_open_cost,depot_vehicle_cap
0,depot,40.0,50.0,,,0.0,,,,,20.0,5
1,depot,0,5,,,0.0,,,,,20.0,5
2,depot,44,85,,,0.0,,,,,20.0,5
3,customer,25,85,20.0,8.0,10.0,145.0,175.0,100.0,3.0,,
4,customer,22,75,30.0,8.0,10.0,50.0,80.0,150.0,3.0,,
5,customer,22,85,10.0,8.0,10.0,109.0,139.0,100.0,3.0,,
6,customer,20,80,40.0,8.0,10.0,141.0,171.0,150.0,3.0,,
7,customer,20,85,20.0,8.0,10.0,41.0,71.0,100.0,3.0,,
8,customer,18,75,20.0,8.0,10.0,95.0,125.0,100.0,3.0,,
9,customer,15,75,20.0,8.0,10.0,79.0,109.0,100.0,3.0,,
10,customer,15,80,10.0,8.0,10.0,91.0,121.0,100.0,3.0,,
11,customer,10,35,20.0,8.0,10.0,91.0,121.0,100.0,3.0,,
12,customer,10,40,30.0,8.0,10.0,119.0,149.0,150.0,3.0,,
13,customer,8,40,40.0,8.0,10.0,59.0,89.0,150.0,3.0,,
14,customer,8,45,20.0,8.0,10.0,64.0,94.0,100.0,3.0,,
15,customer,5,35,10.0,8.0,10.0,142.0,172.0,100.0,3.0,,
16,customer,5,45,10.0,8.0,10.0,35.0,65.0,100.0,3.0,,
17,customer,2,40,20.0,8.0,10.0,58.0,88.0,100.0,3.0,,
18,customer,0,40,20.0,8.0,10.0,72.0,102.0,100.0,3.0,,
19,customer,0,45,20.0,8.0,10.0,149.0,179.0,100.0,3.0,,
20,customer,44,5,20.0,8.0,10.0,87.0,117.0,100.0,3.0,,
21,customer,42,10,40.0,8.0,10.0,72.0,102.0,150.0,3.0,,
22,customer,42,15,10.0,8.0,10.0,122.0,152.0,100.0,3.0,,
